id,name,domain,predicate,j1_origin,j2_extension,p_remainder,gate_operator,gate_type,admissibility_change,output_class,root_cause,suggested_fix,fix_type,boat_candidate,measurables,evidence_refs,confidence,notes,created_by,created_at,updated_at,tags
P011_Fermi,Fermi paradox,astrobiology,civilization visibility expectation,planetary development models,galactic detectability,local-to-cosmic scaling remainder,scaling assumptions break,Gate,local developmental priors misapplied universally,transformed,extension_error,rebuild priors and account for filters,rebuild,observational selection models,Drake parameters|detection limits,Fermi literature,0.60,Underdetermined by current data,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,astrobiology|philosophy
P012_SleepBeauty,Sleeping Beauty,philosophy|probability,single experiment-level probability,external experimental setup,first-person observer credence,observer location remainder,objective-to-indexical probability mapping,Gate,experiment measure misapplied to observer credence,split,extension_error,separate experiment and observer jurisdictions,retype,branching or indexical measures,bet coherence tests,Probability philosophy refs,0.75,Split verdicts remain coherent,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,probability|philosophy
P013_BanachTarski,Banach-Tarski paradox,math|measure,the volume additivity intuition,Euclidean intuition,set-theoretic decomposition with AC,non-measurable decomposition remainder,axiom-choice enabled decomposition,Gate,ordinary measure predicates fail under chosen axioms,transformed,construction_error,clarify axiom set and measure constraints,retype,measure theoretic constraints,measurability conditions,Set theory texts,0.80,Requires axiom-level clarity,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,math|measure-theory
P014_Zeno,Zeno paradox,philosophy|physics,infinite subdivision implies no motion,limit reasoning,physical motion completion,limiting process remainder,math-to-physics mapping mismatch,Gate,infinite mathematical divisions misapplied physically,transformed,extension_error,operationalize convergence in physical models,retype,continuum mechanics models,limit convergence checks,Historical and modern refs,0.85,Resolved by limits plus physics,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,philosophy|physics
P015_Twin,Twin paradox,physics,symmetric time dilation reasoning,inertial frame symmetry,worldline aging comparison,invariant interval remainder,frame-change via acceleration,Gate,non-inertial phase invalidates naive symmetry,transformed,extension_error,compute proper time on full worldlines,retype,accelerated frame analysis,proper time delta,Relativity textbooks,0.90,Standard SR resolution,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,physics|relativity
P016_Grandfather,Grandfather paradox,philosophy|physics,single timeline causality,linear causal history,self-modifying causal history,causal consistency remainder,causal loop consistency map,Gate,timeline identity predicate breaks under loops,null,extension_error,enforce consistency constraints or branching,rebuild,consistent histories frameworks,causal consistency tests,Time-travel literature,0.60,Multiple repairs exist,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,causality|philosophy
P017_Newcomb,Newcomb paradox,decision-theory,one-shot action utility,act-level decision frame,policy-level dependence,predictor dependence remainder,act-to-policy mapping mismatch,Gate,evidential and causal predicates conflict,split,extension_error,distinguish policy-level from act-level models,retype,game-theoretic dependence models,utility and regret metrics,Decision theory refs,0.70,Two stable readings coexist,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,decision-theory
P018_Unexpected,Unexpected hanging paradox,logic|epistemology,surprise prediction under fixed schedule,planner schedule,judge expectation dynamics,indexical knowledge remainder,predictability-to-self-defeat map,Gate,expectation treated as static object,transformed,extension_error,separate epistemic from objective schedules,retype,epistemic logic agents,belief revision traces,Philosophy refs,0.70,Indexicality is central,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,logic|epistemology
P019_Omnipotence,Omnipotence paradox,philosophy|theology,can create any object predicate,coherent modal space,self-contradictory descriptions,none,grammar-to-modality mismatch,Gate,grammatical forms treated as possible entities,null,extension_error,restrict to coherent possibility space,retype,modal logic constraints,consistency checks,Classical theology refs,0.60,Semantic restriction is standard,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,philosophy|theology
P020_Halting,Halting problem,computation|logic,universal halting predictor,single program evaluation,prediction over all programs,diagonalization remainder,self-reference in predictor construction,Gate,universal predictor contradicts itself,null,construction_error,accept undecidability and restrict domains,retype,oracle or bounded analyzers,decidability boundaries,Turing 1936,0.95,Provably undecidable,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,computation|logic
P021_Boltzmann,Boltzmann brain paradox,cosmology,thermal fluctuation observer expectation,ensemble cosmology,single observer inference,observer-selection remainder,measure and prior assignment shift,Gate,statistical predicates misapplied across scales,proxy-substituted,extension_error,refine priors and selection effects,rebuild,anthropic selection models,measure sensitivity studies,Cosmology measure literature,0.60,Measure problem dominates,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,cosmology|philosophy
P022_Ravens,Ravens paradox,epistemology,logical equivalence implies evidential symmetry,formal equivalence relation,empirical confirmation weighting,evidence relevance remainder,logic-to-evidence mapping mismatch,Gate,logical equivalence misread as equal evidence,transformed,extension_error,separate evidential relevance from equivalence,retype,Bayesian confirmation models,posterior delta under observations,Philosophy of science refs,0.75,Requires confirmational nuance,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,epistemology
P023_Trolley,Trolley problem,ethics,single moral responsibility predicate,action-level judgment,outcome-level valuation,multi-criterion ethics remainder,action-to-outcome jurisdiction shift,Gate,one predicate imposed across incompatible moral frames,split,extension_error,model multi-level ethics explicitly,retype,deontic plus consequential framework,moral preference divergence,Ethics literature,0.70,Two-locus treatment is common,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,ethics
P024_Prisoners,Prisoner's dilemma,economics|game-theory,single-agent rationality,individual optimization,multi-agent strategic interaction,interaction remainder,single-to-multi agent lift,Gate,local optimization misapplied to collective system,transformed,extension_error,change incentives and repeated-game structure,rebuild,mechanism design,repeated-game cooperation rates,Game theory refs,0.88,Well-known mechanism solutions,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,economics|game-theory
P025_Continuum,Continuum hypothesis,math|set-theory,fixed cardinal relation assumption,ZFC base axioms,alternative axiom systems,formal independence remainder,axiom-variation operator,Gate,truth value depends on axiomatic jurisdiction,split,construction_error,accept independence and compare axiom programs,rebuild,set-theory extensions,consistency strength comparisons,CH literature,0.80,Pluralism is common,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,math|set-theory
P026_BrainReplace,Brain replacement paradox,philosophy|mind,same person under replacement predicate,biological continuity frame,functional informational continuity,pattern continuity remainder,substrate-to-pattern identity map,Gate,identity criterion shifts under substrate change,split,extension_error,declare identity jurisdiction explicitly,retype,legal and social continuity tests,continuity judgment distributions,Mind and identity refs,0.72,Competing identity criteria coexist,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,identity|philosophy
